generation;Final Drive;Roll Radius;Gear 3;Gear 4;Gear 5;Consumption;Elasticity 3;Elasticity 4;Elasticity 5
0;1.5690293474575492;0.2566415050917073;1.974057789026803;0.921010136780148;0.6835894874067268;1.092945;26.32;120.88;212.9
0;4.069029347457549;0.3121970606472628;1.5017713055885449;1.3495815653515764;1.0740577890268022;1.582032;10.0;12.39;19.57
0;3.1315293474575494;0.4121970606472629;1.674057789026803;1.1352958510658624;0.9563167601339995;1.216769;23.71;51.49;72.56
0;5.631529347457549;0.21219706064726285;1.7744985783158178;1.3740577890268029;0.5230509531066786;2.488295;2.34;3.08;19.9
0;1.8815293474575492;0.37886372731392953;1.5944795245352499;1.2290440328612724;0.7740577890268023;1.058871;61.08;102.83;243.11
0;4.381529347457549;0.4788637273139295;1.914057789026803;1.9108622146794543;1.808765238820964;1.529742;12.5;12.54;14.0
0;2.5065293474575494;0.2788637273139295;1.3801938102495357;1.0140577890268023;0.819953123770363;1.24232;24.92;46.12;70.51
0;5.006529347457549;0.34553039398059615;1.6381349419521813;1.6140577890268029;0.7373366673923929;1.6272;6.76;6.97;33.58
0;1.2565293474575492;0.44553039398059613;1.3654076692249086;1.3140577890268028;1.1659080959638215;1.134188;242.47;256.62;300.68
0;3.7565293474575494;0.24553039398059617;0.9516223816781072;0.7140577890268024;0.5472258510430904;1.427844;18.09;32.12;54.65
1;1.7626590066864927;0.42127675625398564;1.354508640671485;1.2715270666849579;1.0976073555584163;1.110376;119.31;135.45;180.53
1;3.6984387939618744;0.2467895193348992;0.8717781501289769;0.8552845754763732;0.5057610004745346;1.407907;22.47;23.34;66.67
1;3.273474505774187;0.24709435016370668;1.2360034664497417;1.2154655164148742;1.213220539155063;1.588877;14.3;14.79;14.84
1;1.3884827525652623;0.4687624993262067;1.3693162571251023;1.3073073123047003;1.1274441426711657;1.12715;223.6;240.44;295.07
1;4.115345705604877;0.4770461491482508;1.8987122138974488;1.8944358732714148;1.7521628700203058;1.475487;14.29;14.36;16.78
1;5.416468270004331;0.3501710325481406;1.7232104503117542;1.7082324071388855;0.6519706974223534;1.690241;5.27;5.37;37.69
1;3.1248983486992694;0.41768773397836667;1.4869165839884175;0.962896121705645;0.8141942506422368;1.163988;30.98;73.8;103.25
1;2.503501833065908;0.2831625422344117;1.371535900498968;0.8944468457467163;0.838307700658034;1.227024;26.08;61.25;69.72
